name,longitude,latitude
Мордаково,42.4879,57.064
Мердуш река,42.445194,55.042111
Мардас река,41.533056,56.983056
Мордина,34.573477,55.947033
Мердяков овраг (примерно),41.147375,54.533885
Мордосов верх (примерно),34.796408,54.211182
Мордарово,39.862694,56.446283
Мордасово,39.765836,54.534212
Мордасово Нижнее,39.757848,54.514853
Мордок Нижний,34.712524,51.380463
Мердушь,42.292426,54.870026
Мардарьево,38.248894,56.626268
Мордасово,40.618396,55.932158
Мордкино,36.816992,58.695716
Мордасы,35.828347,58.351938
Мордасово,41.175182,54.803518
Мордашки,31.541406,55.228077
Мордасово,33.599108,53.250266
Морди,28.68665,59.001348
Мардасово,39.157352,59.555637
Мордыш,40.610462,56.309437
Мардас,35.348263,59.039639
Мердилейка,44.48957,54.64763
Мерделей,44.28462,55.64129
Мерделейка,44.38241,55.84116
Мерделейка,44.60078,55.219
Мардакслей,44.21358,54.05228
Мардачевская,44.909,62.2202
Мардановская,45.8915,61.5599
Марденьга,46.005,60.7314
Мердабарки,47.435554,54.596054
Мордино,51.8991,61.3538
Мордасово,31.788,56.4608
пустошь Мордыша,40.61405,56.318981
пустошь Мордыша,40.572854,56.317073
пустошь Мордыша,40.587959,56.312303
