name,longitude,latitude
Мордвиново,39.448001,57.614406
Мордвины,41.415619,56.11672
Мордвиново,41.754716,55.659442
Мордвиново,40.597584,55.253824
Мордвиновка,55.477768,55.295536
Мордовское,43.175316,55.888287
Мордвинки,44.029729,56.614845
Мордово,48.887297,53.804361
Мордово-Озеро,49.70013,53.976927
Мордово,49.454019,53.170827
Мордовка,38.588542,53.047519
Мордкино,36.816992,58.695716
Мордвинцево,43.257082,50.550104
Мордвиновка,41.770417,52.031181
Мордовичи,30.486038,56.31702
Мордвин,35.212881,51.490272
Мордово,45.811978,51.12445
Мордвиново,42.822528,56.565614
Мордово,40.762287,52.089058
Мордвинцево,44.01899,56.232433
Мордовское,41.866917,56.552681
Мордвиново,37.842736,57.210617
Мордовинка,36.404185,50.780619
Мордовка,40.57479,52.426058
Мордвинка,50.571066,53.847786
Мордвес,38.2212,54.5779
Мордвиново,35.989859,54.509798
Мордвиново,35.866864,55.388086
Мордва,52.922023,56.347916
Мордвиново,41.754716,55.659442
Мордово,49.454019,53.170827
Мордвиново,37.742339,57.106646
Мордвинова,40.577866,55.106102
Мордвиново,41.98407,54.313927
Мордово,41.278291,53.614524
Мордвиновка,40.367653,53.719535
Мордовка,40.53565,52.452366
Мордвиновка,42.128676,52.159114
Мордово Русское,50.63324,55.580612
Мордовский,52.688836,53.064432
Мордовская,44.198353,55.544002
Мордово,45.1141,55.7008
Мордвес река,38.195,54.529806
Мордвиновская,39.845063,57.637401
Мордва,42.047447,57.134815
Мордвиново,42.863155,57.353581
Мордово Татарское,50.667711,55.576634
Мардовка река,37.133196,54.516552
Мордовский овраг,41.074367,53.730632
Мордовка река,41.36488,53.641304
Мордовской овраг,41.692006,54.88613
Мордовской овраг,43.60119,54.052463
Мордовской овраг,42.501415,54.431836
Мердвино/Мердвыка озеро (примерно),41.08143,54.741142
Мордовка река,42.299883,54.705605
Мардевское озеро (примерно),41.459554,56.730251
Мартово Малое,43.179695,55.900219
Мордвиновский овраг,43.646773,56.175876
Мордовское озеро,43.030748,54.727121
Мордовский ключ,46.54294,61.367677
речка Мордвинка,43.5797,59.7268
Мордвиновское,42.8395,57.3592
пустошь Мордвинова,41.582719,56.203378
пустошь Мордвинова,41.203193,56.668381
пустошь Мордвинцова,38.297305,56.80789
пустошь Мордвица,38.279208,56.285511
пустошь Мордвинова,40.200536,56.921552
пустошь Мордвинова,41.797167,55.656063
пустошь Мордвинова,40.096902,57.766207
пустошь Мордвинова,38.786953,57.518994
река Мордвес,38.4875,54.455611
пустошь Мордвина,41.099002,56.208632
пустошь Мордвинова,41.519652,57.042724
пустошь Мордвиновская,39.217615,54.572211
пустошь Мордвинова,41.4468,54.803812
пустошь Мордвина,37.724981,57.09993
пустошь Мордвинова,37.868801,57.200958
пустошь Мордвинка,37.108067,58.261345
пустошь Мордвинова,36.094537,56.898269
пустошь Мордвинова,35.80959,56.573018
пустошь Мордвина,35.222326,57.341194
пустошь Мордвинова,34.081141,56.412855
пустошь Мордвина,34.356492,56.007584
пустошь Мордвинова,38.572801,57.528354
Мартово Большое,43.158562,55.871998
Новомордовая,49.187,55.0363
река Мордовская,49.117975,55.124501
река Мордовка,48.886453,55.488835
река Мордовка,39.80603,58.014612
река Мордовка,40.51348,52.396275
река Мордова,45.37351,53.780602
река Мордова,46.088138,51.823799
река Мордова,46.98701,54.38178
река Мордова,46.682319,61.748169
