name,longitude,latitude
пустошь Меринова большая,34.828378,57.312333
Мериновка,34.88456,55.255616
Мереново,36.5657,54.8104
деревня Меринова,35.474282,55.884698
Мериновка,35.0337,55.5973
Мереновка,34.8342,57.3144
Мериново,39.2348,58.2308
река Меринка,36.542674,54.954839
Мериново,38.434824,56.894838
пустошь Меринова (примерно),41.386029,57.666344
Мериново,39.7013,59.405
Мериново,44.612784,56.785888
Мериново,37.05815,57.73039
Мериново,42.5366,58.7319
река Меринка,36.591769,54.929843
Мериново-Малиновец,37.055274,57.72705
пустошь Меринова,37.132668,57.176039
озеро Мериново,37.964026,60.006143
пустошь Меренцова,36.345578,56.204583
пустошь Меринова,37.839596,56.947794
пустошь Меренкова/Меринкова,36.771413,58.700168
пустошь Меринова,37.043064,57.259563
пустошь Меренова,36.521405,56.717739
пустошь Меринова меньшая,34.841596,57.314545
пустошь Меринова,39.806616,57.567839
пустошь Меренина Мерино тож,39.082778,57.570383
