name,longitude,latitude
Галич Мерской,42.349385,58.375041
озеро Мерское,40.83881,57.788652
Меря Старая,36.6005,55.811096
река Мерская,41.12088,57.863776
река Мерская,40.912758,57.860673
река Мерская,42.311836,59.175722
река Мерская,42.511996,59.214614
река Мерская,34.607765,56.463913
река Мерская,34.432765,56.318636
река Мерьская,39.254806,55.7025
река Мерьская,38.601694,55.355806
Меря Старая,38.529611,55.738944
Меря Молодая,38.565134,55.737927
река Мера,41.881889,58.028306
река Мера,42.314806,57.4705
река Мерешка,42.20357,57.485204
река Мерешка,42.19503,57.452103
Мерьское болото,36.571111,55.81162
река Меремша,44.996742,58.187665
река Меремша,44.74005,58.24462
Меремша,44.739253,58.24247
Мерёжа,36.398056,59.026667
река Мережа,36.212194,59.100611
река Мережа,36.412806,59.029389
река Мерянка,37.5345,55.914
река Мерянка,37.522194,55.957111
пустошь Мерская,36.465967,56.468416
пустошь Мерская,41.8708,58.0837
Мерейкино,35.278304,56.184374
река Мережка,35.955611,59.314389
река Мережка,36.100889,59.183806
Мерки,42.158159,58.015839
Малая Мерка,36.616589,55.803147
Мерчалово,36.140722,55.392908
пустошь Мерский дор,35.961824,58.394155
Никола-Мера,42.325695,57.472416
Мера,42.280669,57.544544
