name,longitude,latitude
Мещерское,37.6323,55.278
Мещера,40.259366,55.996587
Мещера,43.172653,56.087246
Мещерские Горы,35.740709,56.201592
Мещера,39.928443,56.216459
Мещерские Дворы,36.673576,51.671425
Мещеры,42.603611,55.75861
Мещерское,42.443889,55.536944
Мещерево,54.086305,54.824643
Мещерка,37.894167,52.961111
Мещерино,38.357332,55.196011
Мещерское,44.157635,52.671466
Мещерка,40.239433,57.401807
Мещеринка,37.335472,51.831244
Мещериново,37.543118,54.842183
Мещерино,37.38271,53.614113
Мещерино,37.824032,55.49802
Мещерское,37.6124,55.27763
Мещериха,45.64467,57.986785
Мещерское,37.87778,54.144548
Мещерские Выселки,37.902646,54.124867
Мещерский,40.718134,54.894049
Мещеры,38.600157,55.609274
Мещерский,37.712801,55.277659
Мещёрский,37.417357,55.671678
Мещёрская,34.451736,55.347671
Мещерский погост,39.3167,55.327038
Мещерский Городец,41.397405,54.949757
Мещера,37.306075,57.643001
Мещеры Большие,32.0148,58.1083
Мещерино,39.5892,57.912
Новомещерово,58.402432,55.703227
Старомещерово,58.411675,55.734495
Мещериновка,49.5427,54.8747
Мещеринка Малая,56.3988,55.41
Мещеринка Большая,56.4373,55.4095
Мещерская Поросль,43.058744,56.131612
Мещерка,39.630586,52.286338
Мещерка,39.504816,56.468778
Мещерский Бор,40.03914,55.239699
Мещерский Липяжок,39.574149,52.293192
Мещерка,38.428178,54.193218
Мещерские выселки,39.324515,54.315972
Мещерки,42.580366,56.107224
Мещерских гор Никольский погост,43.083171,56.115879
Мещерское,39.927368,53.992684
Мещерский остров,42.969722,56.161944
Мещерская заводь озеро,43.041944,56.142222
Мещерский пруд,37.406627,55.672003
Мещерская Слобода,34.980307,53.09131
Мещериха,37.3375,56.063889
Мещериха,37.376111,55.983611
Мещерка,39.362806,52.227194
Мещерское озеро,43.942154,56.33748
Мещерское село,43.278202,53.8115
Мещеринова деревня,43.317684,53.820013
Мещерские выселки,43.707699,53.26574
Мещерской овраг,41.861061,55.461776
Мещерка речка,42.099122,55.725757
Мещерское озеро,42.1259,55.724401
Мещерка река,42.912257,56.209986
Мещерка река,42.149963,55.353844
Мещерский овраг,43.294561,53.793543
Мещерка река,42.475652,55.779824
Мещерово,36.211952,56.223015
Мещерка пустошь,42.977668,55.835982
Мещера,41.752466,54.96952
Мещера местность на Везломе,44.093045,56.39286
Мещорка река,39.415312,53.77453
Мещерская Варежка,43.779501,53.24126
Мещерягино,40.002382,56.022635
Мещерский рубеж (примерно),40.854779,54.293799
озеро Мещерово,39.68257,57.61819
остров Мещерский,40.045973,54.902628
пустошь Мещерка,42.607493,56.140002
пустошь Мещеринова,39.500979,56.461972
Мещериха,40.360328,56.909649
Мещерка,38.591138,56.011236
пустошь Мещерка?,39.4987849,57.545935
сельцо Мещерское,40.726666,58.142862
пустошь Мещерка,34.917631,56.199521
пустошь Мещеринова,38.993333,55.300969
пустошь Мещерская Тригубова,39.571984,54.81212
пустошь Мешарина,36.992083,57.235315
