name,longitude,latitude
Мичурино,40.266389,58.974722
Мичурино,40.873625,56.139512
Мичурино,44.110389,58.958032
Мичуриха,39.605662,57.397566
Мичуриха,36.815431,57.96557
Мичурино,57.640383,58.31343
Мичурина,39.78885,58.305468
Мичурино,37.561928,57.802069
Мичурино,39.777279,58.011351
Мичурина,38.506786,57.783449
Мичуровская,43.934444,60.692778
Мичурино,47.718473,60.647371
Мичурин,43.404485,58.644112
Мичурино,31.9186,56.7376
Мичурино,31.917274,56.729771
озеро Мичурово,42.568368,62.68117
озеро Мичурово,41.941796,56.517291
Мичура,54.961,56.8989
Мичурино,38.5005,57.7998
Мичуринская,37.7269,61.791
Долгая Мичуровка,39.6164,54.0466
река Мичура,54.940602,56.952004
река Мичура,54.945707,56.887325
вершина Мичура,39.6979333,59.7785441
Мичурино-Семеново,40.8137,58.4905
пустошь Мичурина,40.042032,58.130444
Мичурина,39.772184,58.09628
сельцо Мичуриха,36.819344,58.524237
пустошь Мичуринская Алексеевская тож,40.478932,55.105404
пустошь Мичурина,36.1709,55.6897
