name,longitude,latitude
Мишуров Починок,42.681894,56.734142
болото Мишурино,40.910554,57.16573
Мишурино,38.100015,56.385823
Мишурово,42.286957,56.186104
речка Мишуронка,39.723432,55.737314
Мишурино,29.8691,57.612056
Мишурново,29.011931,56.536594
речка Мишуровка,42.306383,56.192585
Мишуринское,43.226743,57.45058
Мишурин Рог,32.356722,57.100567
Мишуронский,39.740406,55.717378
Мишурово,35.5157,58.9833
Мишурка,33.3062,56.8892
Мишуры,31.4346,55.2403
река Мишурна,56.262385,58.215865
Мишурна,56.28796,58.220776
Мишурово,39.766,55.4062
