name,longitude,latitude
Муром,42.0274611,55.5746327
Муромка большая,42.5506318,56.7958297
Русская Муромка,44.3653878,53.5438911
Муромцево,40.9077578,55.9318834
Муромцево,38.5463478,55.30385829999999
Муромцево,35.9515238,54.5079655
Муром,36.7108239,50.3092912
озеро Муромское,39.5823528,55.57897939999999
озеро Муромское,43.9476357,56.3647127
Муромцево,37.8977917,52.558195
Муромцево,35.988253,56.011429
озеро Муромское,42.1064,55.629908
озеро Муромское,43.958448,56.360292
озеро Большое Муромское,41.989305,55.549399
река Муромка,42.3315746,55.69233
река Муромка,41.5859486,54.9711633
река Муромка,44.1539069,53.4437423
Муромино,40.0487656,54.6053915
Муромский,42.0250622,55.5553499
Муромцы,36.5033,54.8309
Муромцово,38.1729,56.11
Муромцево,42.3919,58.2257
Муромцево,40.215,58.158
Муромцево,37.6321,52.8753
Муромцева,37.8659237,52.5709423
Муромка,40.8235,54.3782
Русская Муромка,43.6511,53.4236
Муромка,39.0356,53.2226
пустошь Муромца,39.702212,56.312114
пустошь Муромцова,38.133862,56.947348
река Муромка,42.25012,55.7154625
река Муромка,44.3913259,53.5584004
река Муромка,41.7580247,54.9312852
овраг Муромской,41.412859,54.954741
овраг Муромской,39.235639,56.178481
река Муромец,39.361824,56.062373
река Муромец,39.2792549,56.0644161
Новолесная Муромка,42.50361,56.810123
