name,longitude,latitude
Мажарка Большая,45.441954,55.224931
Мажарка Малая,45.422557,55.222626
Мажарка река,45.4587289,55.232723
Мажарка река,47.178316,55.9788012
Мажарка речка,49.0476298,55.3240558
Мажаровка,45.49909,53.14773
Можарка,45.635792,53.223311
Можарка,47.0062297,55.2554416
Можарки,47.813067,55.211486
Можарки/Мочар,47.81641,55.472253
Можаров Майдан,45.881638,55.619248
Можаровка,42.338762,52.125015
Можаровка,42.341479,52.69856
Можаровка,42.250269,52.80941
Можаровка,42.135807,52.137747
Можаровка,40.866836,53.062531
Можаровка ручей,45.5016002,53.2091647
Можарово,40.162644,54.42282
Можарово,42.70647,53.67836
Можарово,48.030059,55.283663
Можарово,40.871986,53.046346
Можарово Новое,45.7395912,55.5335163
Можарово Старое,45.8045677,55.4915051
Можаровский хутор,41.028023,53.383696
Можаровской овраг,40.938392,53.8434533
Можарская,43.2133336,54.4304021
Можары,54.268506,55.960558
Можары,48.068533,55.901985
Можары Большие,41.045624,53.871409
Можары Меньшие ,41.02486,53.891307
Мочары Верхние,46.433429,55.964477
Мочары Нижние,46.411658,55.936589
Мочары/Мочуры,31.895868,55.669201
Тож-Можары,47.6222905,55.9289238
Мадьяр,53.02972,55.95521
Мадьярово,52.1467016,57.277173
